훈련과정ID,회차,3개월 취업인원,3개월 취업률,6개월 취업인원,6개월 취업률,수료인원
AIG20230000412753,7,9,90.0,,B,11
AIG20240000459077,4,5,55.6,,B,14
AIG20240000459225,4,5,35.7,,B,14
AIG20250000501724,1,5,26.3,,B,19
AIG20240000459084,2,2,16.7,,B,15
AIG20250000501522,2,0,0.0,,B,12
AIG20250000501588,1,,B,,B,3
AIG20240000498123,5,4,28.6,,B,15
AIG20240000498126,4,2,33.3,,B,6
AIG20240000498395,3,3,27.3,,B,12
AIG20230000455714,8,2,25.0,,B,9
AIG20240000459414,5,4,33.3,,B,14
AIG20250000501522,3,,B,,B,19
AIG20250000501586,1,0,0.0,,B,7
AIG20250000541106,1,,B,,B,17
AIG20250000501715,1,0,0.0,0,0.0,3
AIG20240000501210,2,17,68.0,,B,26
AIG20250000501352,4,,C,,C,0
AIG20230000412678,8,,C,,C,0
AIG20230000412830,8,2,33.3,,B,6
AIG20230000455588,7,1,8.3,,B,14
AIG20240000501224,2,4,44.4,,B,10
AIG20240000498260,13,3,42.9,,B,8
AIG20240000498058,8,2,28.6,,B,9
AIG20240000459323,4,0,0.0,0,0.0,8
AIG20240000459269,7,2,20.0,,B,10
AIG20240000459010,1,,B,,B,22
AIG20250000501427,2,3,37.5,,B,8
AIG20240000459097,8,1,33.3,,B,6
AIG20230000412586,21,3,17.6,,B,19
AIG20240000459328,7,1,8.3,,B,14
AIG20250000501364,2,8,18.6,,B,48
AIG20240000498066,6,4,22.2,,B,21
AIG20250000501781,2,13,54.2,,B,27
AIG20240000459091,6,6,18.2,,B,39
AIG20230000455656,10,21,30.4,,B,76
AIG20240000459254,5,5,31.3,,B,16
AIG20240000459254,6,6,40.0,,B,16
AIG20240000459024,2,2,16.7,,B,13
AIG20240000498265,4,1,20.0,,B,8
AIG20240000459059,8,1,25.0,,B,5
AIG20230000455734,7,1,12.5,,B,9
AIG20230000412750,15,3,27.3,,B,11
AIG20250000501478,2,8,66.7,,B,14
AIG20250000501481,1,4,44.4,,B,9
AIG20250000501655,3,3,60.0,,B,7
AIG20230000455610,3,1,50.0,,B,2
AIG20230000412718,15,3,25.0,,B,14
AIG20250000501393,1,,B,,B,17
AIG20250000501545,1,,B,,B,3
AIG20240000459166,7,6,33.3,,B,20
AIG20240000498267,6,7,29.2,,B,26
AIG20230000412800,3,2,13.3,,B,16
AIG20240000459259,6,6,11.1,,B,62
AIG20240000501193,1,,B,,B,30
AIG20240000501193,2,,B,,B,30
AIG20240000501193,3,,B,,B,30
AIG20240000501193,4,,B,,B,30
AIG20240000501193,5,,B,,B,29
AIG20240000501193,6,,B,,B,29
AIG20240000501193,7,,B,,B,29
AIG20230000412699,7,5,33.3,,B,19
AIG20240000459220,1,9,47.4,,B,22
AIG20240000498178,3,20,55.6,,B,44
AIG20240000501182,2,5,33.3,,B,16
AIG20240000501195,3,5,29.4,,B,22
AIG20240000501195,4,3,16.7,,B,23
AIG20240000459325,7,0,0.0,,B,7
AIG20250000501497,1,2,40.0,,B,6
AIG20250000501443,1,4,20.0,,B,21
AIG20240000498366,5,,B,,B,6
AIG20240000459368,5,,B,,B,21
AIG20240000498261,3,,B,,B,52
AIG20240000459097,10,4,33.3,,B,18
AIG20250000501613,1,0,0.0,,B,6
AIG20230000412718,16,0,0.0,,B,9
AIG20230000455753,12,5,35.7,,B,19
AIG20240000498126,5,2,20.0,,B,12
AIG20240000498148,2,0,0.0,,B,4
AIG20240000459142,6,2,13.3,,B,17
AIG20240000459113,3,2,16.7,,B,17
AIG20230000412740,9,0,0.0,,B,5
AIG20240000498100,5,,B,,B,12
AIG20250000501393,2,,B,,B,16
AIG20250000501545,2,,B,,B,18
AIG20240000498342,4,,B,,B,37
AIG20250000501578,1,0,0.0,,B,4
AIG20240000458999,4,1,8.3,,B,14
AIG20250000501475,1,1,11.1,,B,10
AIG20230000455741,6,7,63.6,,B,11
AIG20240000459402,6,1,12.5,,B,9
AIG20230000412842,5,,C,,C,0
AIG20230000412688,8,1,33.3,,B,4
AIG20240000459315,7,1,14.3,,B,9
AIG20240000459322,7,1,33.3,,B,3
AIG20240000459356,7,0,0.0,,B,9
AIG20240000459358,7,3,75.0,,B,6
AIG20230000455694,6,2,33.3,,B,7
AIG20230000455635,22,4,36.4,,B,12
AIG20240000498260,14,9,60.0,,B,15
AIG20240000459068,22,6,46.2,,B,14
AIG20240000498172,5,1,16.7,,B,7
AIG20230000412580,8,5,26.3,,B,23
AIG20230000412591,8,3,25.0,,B,22
AIG20230000412591,9,3,17.6,,B,23
AIG20240000498262,3,0,0.0,,B,6
AIG20250000501370,1,5,38.5,,B,17
AIG20230000412832,15,1,25.0,,B,4
AIG20230000412766,19,3,50.0,,B,6
AIG20230000412770,16,2,20.0,,B,14
AIG20240000498130,7,4,36.4,,B,13
AIG20240000459302,12,3,25.0,,B,17
AIG20240000459390,10,5,21.7,,B,24
AIG20250000501445,1,2,25.0,,B,9
AIG20240000459381,3,,B,,B,25
AIG20230000455612,6,4,28.6,,B,32
AIG20230000455675,5,9,90.0,,B,11
AIG20250000501503,2,21,29.6,,B,80
AIG20250000501512,2,17,39.5,,B,47
AIG20240000498108,7,3,37.5,,B,9
AIG20250000501572,3,12,80.0,,B,16
AIG20230000412839,8,5,35.7,,B,16
AIG20240000459389,13,,B,,B,14
AIG20230000455687,11,4,40.0,,B,11
AIG20250000501445,2,1,12.5,,B,8
AIG20230000455573,10,0,0.0,,B,4
AIG20230000455554,12,,B,,B,13
AIG20240000459406,5,4,57.1,,B,7
AIG20240000498287,5,11,42.3,,B,30
AIG20230000455692,5,,B,,B,8
AIG20240000459211,4,3,42.9,,B,8
AIG20240000501236,3,3,33.3,,B,9
AIG20240000459423,3,,B,,B,72
AIG20240000498366,6,,B,,B,21
AIG20240000459227,5,2,13.3,,B,15
AIG20240000459209,9,1,10.0,,B,11
AIG20240000498128,4,4,40.0,,B,11
AIG20230000455611,7,0,0.0,,B,4
AIG20230000455739,9,4,33.3,,B,13
AIG20250000501456,2,1,16.7,,B,7
AIG20250000501520,1,4,50.0,,B,9
AIG20230000412839,9,4,50.0,,B,11
AIG20250000501663,1,,B,,B,31
AIG20250000501545,3,,B,,B,23
AIG20230000412662,13,3,30.0,,B,10
AIG20240000459065,6,0,0.0,,B,5
AIG20240000459268,8,9,60.0,,B,16
AIG20240000498303,4,6,54.5,,B,11
AIG20240000501233,2,4,40.0,,B,13
AIG20250000501522,4,,B,,B,14
AIG20240000459210,5,5,25.0,,B,22
AIG20230000412662,14,2,20.0,,B,10
AIG20230000455715,7,,C,,C,0
AIG20240000498071,1,0,0.0,,B,2
AIG20240000459288,10,,C,,C,0
AIG20230000412667,11,,B,,B,9
AIG20240000459097,9,2,18.2,,B,12
AIG20250000501719,2,12,50.0,,B,30
AIG20230000455718,16,2,16.7,,B,17
AIG20230000455720,18,4,57.1,,B,7
AIG20240000498141,2,4,44.4,,B,10
AIG20240000459291,5,9,47.4,,B,20
AIG20250000501714,2,1,6.3,,B,17
AIG20250000501472,1,,B,,B,18
AIG20240000498142,8,,B,,B,10
AIG20240000459352,6,,B,,B,17
AIG20240000459329,4,,D,,D,7
AIG20240000498314,8,2,40.0,,B,7
AIG20250000501515,2,1,50.0,,B,3
AIG20230000455635,23,3,15.8,,B,21
AIG20230000455736,12,14,73.7,,B,20
AIG20240000459278,8,3,37.5,,B,8
AIG20240000498302,3,,C,,C,0
AIG20240000498213,4,2,40.0,,B,5
AIG20250000501460,5,,B,,B,9
AIG20230000412718,17,,B,,B,12
AIG20230000412868,9,,B,,B,15
AIG20240000459097,11,5,23.8,,B,22
AIG20230000455595,13,4,44.4,,B,13
AIG20230000412895,15,1,11.1,,B,10
AIG20240000459333,3,4,30.8,,B,14
AIG20240000498076,6,4,36.4,,B,13
AIG20250000501724,2,,B,,B,14
AIG20240000459191,7,,B,,B,16
AIG20240000498123,6,7,50.0,,B,14
AIG20230000455631,8,5,50.0,,B,10
AIG20230000455715,8,,C,,C,0
AIG20230000412697,8,3,23.1,,B,15
AIG20250000501657,1,5,27.8,,B,25
AIG20240000459288,11,,C,,C,0
AIG20230000455719,15,2,10.5,,B,38
AIG20230000455593,12,3,30.0,,B,15
AIG20230000412755,15,5,71.4,,B,7
AIG20240000501227,3,3,23.1,,B,15
AIG20240000459317,8,,B,,B,4
AIG20240000459357,8,,B,,B,7
AIG20240000459283,11,,B,,B,18
AIG20240000498115,7,,B,,B,19
AIG20240000459009,4,,D,,D,17
AIG20240000459408,7,,B,,B,62
AIG20240000459412,6,,B,,B,58
AIG20240000498366,7,,B,,B,14
AIG20230000412656,17,19,63.3,,B,35
AIG20230000412747,9,2,16.7,,B,19
AIG20240000459091,8,8,30.8,,B,30
AIG20240000498156,5,15,42.9,,B,43
AIG20230000412718,18,1,16.7,,B,10
AIG20240000459278,9,1,8.3,,B,12
AIG20250000501509,2,2,8.3,,B,25
AIG20240000459068,23,4,36.4,,B,15
AIG20230000455753,13,3,16.7,,B,18
AIG20240000498084,4,4,50.0,,B,10
